Scientific Name,Taxon Key
Acipenser fulvescens,2402120
Actaea podocarpa,5616574
Actaea racemosa,6376106
Actaea rubifolia,5616570
Adoxa moschatellina,2888794
Aflexia rubranura,2034384
Agalinis skinneriana,3171219
Alburnops chalybaeus,7565074
Alburnops texanus,7565074
Alnus incana,9148577
Ambystoma jeffersonianum,2431962
Ambystoma platineum,2432016
Amelanchier interior,3024097
Amelanchier sanguinea,3023840
Ammocrypta clara,2381980
Ammocrypta pellucida,2381982
Ammophila breviligulata,5289843
Amorpha nitens,5357379
Andrena quintilis,1357815
Andrena virginiana,1357671
Andromeda glaucophylla,6400198
Anthophora walshii,5040392
Antrostomus carolinensis,6101173
Apalone mutica,2442712
Arctostaphylos uva-ursi,2882580
Argynnis aphrodite,12037985
Argynnis idalia,8746798
Artemisia dracunculus,3121581
Asclepias lanuginosa,3170327
Asclepias meadii,3170259
Asclepias ovalifolia,3170264
Asclepias stenophylla,3170321
Asio flammeus,2497295
Asplenium bradleyi,2650685
Asplenium resiliens,2650631
Astragalus crassicarpus,5343637
Astragalus distortus,5344510
Astragalus tennesseensis,5344468
Athysanella balli,2046470
Athysanella incongrua,2046436
Avenella flexuosa,4149465
Baptisia tinctoria,7943262
Bartonia paniculata,5414427
Bartramia longicauda,2481705
Beckmannia syzigachne,5290059
Berchemia scandens,3039506
Betula alleghaniensis,5331779
Bidens beckii,5392023
Boltonia decurrens,5393595
Bombus affinis,1340481
Botaurus lentiginosus,2480911
Botrychium campestre,2650190
Botrychium matricariifolium,9225633
Botrychium simplex,2650180
Bouteloua gracilis,7861320
Buchnera americana,5415032
Buteo swainsoni,2480562
Caecidotea lesliei,2205850
Cakile edentula,3048882
Calamagrostis porteri,2704876
Calephelis muticum,4299073
Calla palustris,2869101
Calopogon oklahomensis,2842631
Calopogon tuberosus,2842641
Camassia angusta,2769080
Cambarunio iris,9749798
Canis lupus,5219173
Capnoides sempervirens,2888522
Cardamine pratensis,7972010
Carex alata,2725894
Carex albicans,2725452
Carex albolutescens,2723628
Carex arkansana,2727559
Carex atlantica,2726854
Carex aurea,2729306
Carex bromoides,2729333
Carex brunnescens,2728226
Carex canescens,2722942
Carex chordorrhiza,2728174
Carex crawfordii,2722380
Carex cryptolepis,2723912
Carex cumulata,2723470
Carex debilis,2724457
Carex decomposita,2726186
Carex diandra,2723156
Carex disperma,2723500
Carex echinata,2726894
Carex formosa,2729219
Carex garberi,2727544
Carex gigantea,2728850
Carex inops,2723507
Carex intumescens,2727755
Carex limosa,2725881
Carex nigromarginata,2727797
Carex oligosperma,2725983
Carex opaca,2723921
Carex oxylepis,2728757
Carex pallescens,2726592
Carex plantaginea,2723909
Carex prasina,2726203
Carex reniformis,2726095
Carex straminea,2724367
Carex trisperma,2725572
Carex tuckermanii,2723291
Carex viridula,2721893
Carex willdenowii,2725214
Carya aquatica,8246850
Carya pallida,3054341
Castilleja sessiliflora,3170616
Catostomus catostomus,4286868
Ceanothus herbaceus,3039322
Centruroides vittatus,7455866
Chamaedaphne calyculata,5333436
Chamaelirium luteum,2741647
Charadrius melodus,2480283
Chimaphila maculata,2888304
Chimaphila umbellata,2888307
Chlidonias niger,2481119
Circaea alpina,3188797
Circus hudsonius,6101217
Cirsium pitcheri,3113668
Cladrastis kentukea,2945513
Clematis crispa,3033593
Clematis viorna,3033562
Clemmys guttata,5961001
Clonophis kirtlandii,2456368
Coccyzus erythropthalmus,2496286
Colletes aestivalis,1348728
Colletes andrewsi,1348535
Collinsia violacea,5414957
Commellus colon,2046922
Comptonia peregrina,5414197
Conioselinum chinense,3034690
Corallorhiza maculata,2797273
Coregonus artedi,2351092
Cornus canadensis,3082270
Corydalis aurea,5334210
Corydalis halei,5531534
Corylus cornuta,2876032
Corynorhinus rafinesquii,2432491
Cottus bairdii,2334131
Crangonyx anomalus,2217993
Crangonyx packardi,2217985
Crotalus horridus,2444468
Cryptobranchus alleganiensis,2432031
Crystallaria asprella,2382195
Cyclonaias tuberculata,2287949
Cynosciadium digitatum,3034429
Cyperus grayoides,2715442
Cyperus lancastriensis,2714637
Cypripedium acaule,2820380
Cypripedium parviflorum,2820475
Cypripedium reginae,2820340
Cyprogenia stegaria,5189381
Dalea foliosa,5353340
Delphinium carolinianum,3033700
Dendrolycopodium dendroideum,3991500
Dendrolycopodium hickeyi,3991491
Dennstaedtia punctilobula,2650777
Desmognathus conanti,2431237
Dichanthelium boreale,2702568
Dichanthelium joorii,2702604
Dichanthelium portoricense,4133779
Dichanthelium ravenelii,2702679
Dichanthelium yadkinense,4133247
Dieunomia nevadensis,1351609
Diploperla robusta,2004409
Discus macclintocki,5190487
Dodecatheon frenchii,3169272
Draba cuneifolia,3049851
Drosera intermedia,3191157
Drosera rotundifolia,3191030
Dryopteris celsa,5275087
Echinodorus tenellus,5328709
Egretta caerulea,2480894
Egretta thula,2480873
Elassoma zonatum,2380530
Eleocharis olivacea,7766369
Eleocharis quinqueflora,2717493
Eleocharis rostellata,2717550
Ellipsaria lineolata,2288379
Elliptio crassidens,2288338
Elymus trachycaulus,5290270
Emydoidea blandingii,2442885
Epeolus ainsliei,1341930
Epeolus interruptus,1341873
Epilobium strictum,7396371
Epioblasma rangiana,8007262
Epioblasma triquetra,2288218
Equisetum pratense,2687942
Equisetum scirpoides,2687948
Equisetum sylvaticum,2687929
Erimystax dissimilis,2362086
Erimystax x-punctatus,2362094
Eriophorum gracile,2730137
Eriophorum virginicum,2730250
Eryngium prostratum,3034419
Erythranthe geyeri,7346100
Etheostoma histrio,2382337
Euonymus americanus,3169130
Eupatorium hyssopifolium,5403057
Euphorbia polygonifolia,3065669
Euphorbia spathulata,3066758
Eurybia furcata,5396123
Eurynia dilatata,7637385
Faxonius indianensis,9193207
Faxonius kentuckiensis,8819880
Faxonius lancifer,9059974
Faxonius placidus,9051396
Faxonius stannardi,9009477
Festuca paradoxa,2704984
Filipendula rubra,2988113
Fimbristylis vahlii,2709016
Fitchiella robertsonii,8075330
Flexamia albida,2047368
Flexamia grammica,2047353
Fontigens antroecetes,2300153
Forbesichthys papilliferus,2401728
Fundulus diaphanus,5712054
Fundulus dispar,5203653
Galium virgatum,2914123
Gallinula galeata,7340222
Gammarus acherondytes,2219854
Gastrophryne carolinensis,2421766
Geranium bicknellii,2890075
Glyceria arkansana,2705476
Gratiola quartermaniae,3729062
Gymnocarpium dryopteris,2650832
Hackelia deflexa,2925944
Halesia carolina,5371655
Helianthus angustifolius,3119144
Helianthus giganteus,3119240
Heliotropium tenellum,2925800
Hemidactylium scutatum,2431666
Hesperia metea,5142298
Heteranthera reniformis,2766151
Heterodon nasicus,5223725
Hexalectris spicata,2801486
Hudsonia tomentosa,5331111
Huperzia porophila,2688531
Hybognathus hankinsoni,2364394
Hybognathus hayi,2364404
Hybopsis amblops,2366620
Hybopsis amnis,2366623
Hydrolea uniflora,2928291
Hyla avivoca,2427594
