"County","Scientific Name","Common Name","State Status","Informal Taxonomy","Last Observed","# of Records"
"Woodford","Viburnum molle","Arrowwood","LT","Dicots","9/2/1999","1"
"Woodford","Spiranthes lucida","Yellow-lipped Ladies' Tresses","LE","Monocots","5/25/1968","1"
"Woodford","Percopsis omiscomaycus","Trout-perch","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","1967","2"
"Woodford","Pandion haliaetus","Osprey","LT","Birds","2021","2"
"Woodford","Necturus maculosus","Mudpuppy","LT","Amphibians","11/7/2017","1"
"Woodford","Myotis sodalis","Indiana Bat","LE","Mammals","4/14/2011","1"
"Woodford","Myotis septentrionalis","Northern Long-eared Bat","LE","Mammals","6/13/1985","1"
"Woodford","Lanius ludovicianus","Loggerhead Shrike","LE","Birds","6/30/2007","1"
"Woodford","Fundulus dispar","Starhead Topminnow","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","7/5/1989","1"
"Woodford","Filipendula rubra","Queen-of-the-prairie","LT","Dicots","7/25/2013","1"
"Woodford","Eurynia dilatata","Spike","LE","Freshwater Mussels","8/31/2001","1"
"Woodford","Erythranthe geyeri","Yellow Monkey Flower","LE","Dicots","6/23/1989","1"
"Woodford","Cypripedium reginae","Showy Lady's Slipper","LE","Monocots","6/10/1999","1"
"Woodford","Coccyzus erythropthalmus","Black-billed Cuckoo","LT","Birds","2020-06","1"
"Woodford","Bombus affinis","Rusty Patched Bumble Bee","LE","Bumble Bees","6/28/2025","3"
"Woodford","Boltonia decurrens","Decurrent False Aster","LT","Dicots","10/17/2024","4"
"Woodford","Bartramia longicauda","Upland Sandpiper","LE","Birds","7/1/2010","1"
"Woodford","Acipenser fulvescens","Lake Sturgeon","LE","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","4/29/2020","1"
"Winnebago","Vaccinium corymbosum","Highbush Blueberry","LE","Dicots","6/25/2024","1"
"Winnebago","Ulmus thomasii","Rock Elm","LE","Dicots","4/18/2025","1"
"Winnebago","Terrapene ornata","Ornate Box Turtle","LT","Turtles","5/16/2021","2"
"Winnebago","Synthyris bullii","Kittentails","LT","Dicots","5/19/2024","9"
"Winnebago","Sparganium americanum","American Bur-reed","LE","Monocots","6/30/1987","1"
"Winnebago","Somatochlora hineana","Hine's Emerald Dragonfly","LE","Dragonflies and Damselflies","7/25/2021","2"
"Winnebago","Silene regia","Royal Catchfly","LE","Dicots","7/23/2021","1"
"Winnebago","Setophaga cerulea","Cerulean Warbler","LT","Birds","6/13/2019","2"
"Winnebago","Sceptridium multifidum","Northern Grape Fern","LE","Adder's-tongues, Grapeferns, and Moonworts","11/27/2024","2"
"Winnebago","Sambucus racemosa ssp. pubens","Red-berried Elder","LE","Dicots","6/5/2024","2"
"Winnebago","Ranunculus rhomboideus","Prairie Buttercup","LE","Dicots","3/27/2024","4"
"Winnebago","Rallus elegans","King Rail","LE","Birds","6/26/1995","1"
"Winnebago","Protandrena bancrofti","Mining Bee","LT","Other Bees","7/2/2018","1"
"Winnebago","Poliocitellus franklinii","Franklin's Ground Squirrel","LT","Mammals","1958-06","1"
"Winnebago","Penstemon grandiflorus","Large-flowered Beard Tongue","LE","Dicots","6/2/2022","3"
"Winnebago","Pandion haliaetus","Osprey","LT","Birds","5/28/2025","3"
"Winnebago","Nyctanassa violacea","Yellow-crowned Night-Heron","LE","Birds","8/21/2010","1"
"Winnebago","Nothocalais cuspidata","Prairie Dandelion","LE","Dicots","5/11/2017","1"
"Winnebago","Necturus maculosus","Mudpuppy","LT","Amphibians","7/16/2012","1"
"Winnebago","Moxostoma carinatum","River Redhorse","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","7/23/2018","2"
"Winnebago","Miniellus nubilus","Ozark Minnow","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","10/26/2010","4"
"Winnebago","Mimosa nuttallii","Cat's claw","LE","Dicots","6/23/1958","1"
"Winnebago","Lethenteron appendix","American Brook Lamprey","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","8/21/2024","6"
"Winnebago","Lespedeza leptostachya","Prairie Bush Clover","LE","Dicots","8/14/2024","4"
"Winnebago","Lechea intermedia","Pinweed","LE","Dicots","1977","2"
"Winnebago","Lanius ludovicianus","Loggerhead Shrike","LE","Birds","7/6/2005","2"
"Winnebago","Juniperus horizontalis","Trailing Juniper","LE","Conifers","6/5/2024","1"
"Winnebago","Juniperus communis","Ground Juniper","LE","Conifers","9/15/2023","2"
"Winnebago","Juncus vaseyi","Vasey's Rush","LE","Monocots","1994","1"
"Winnebago","Juglans cinerea","Butternut","LE","Dicots","2025-08","3"
"Winnebago","Hybognathus hankinsoni","Brassy Minnow","LE","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","7/26/2013","6"
"Winnebago","Helianthus giganteus","Tall Sunflower","LE","Dicots","9/10/2022","2"
"Winnebago","Gallinula galeata","Common Gallinule","LE","Birds","7/17/2019","1"
"Winnebago","Fundulus dispar","Starhead Topminnow","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","7/19/2011","2"
"Winnebago","Flexamia albida","Leafhopper","LT","True Bugs, Cicadas, Hoppers, Aphids and Allies","8/24/2022","1"
"Winnebago","Filipendula rubra","Queen-of-the-prairie","LT","Dicots","6/21/2023","1"
"Winnebago","Eurynia dilatata","Spike","LE","Freshwater Mussels","8/25/2005","1"
"Winnebago","Eurybia furcata","Forked Aster","LT","Dicots","9/5/2025","4"
"Winnebago","Erimystax x-punctatus","Gravel Chub","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","9/10/2025","11"
"Winnebago","Epeolus ainsliei","Ainslie�s Epeolus","LE","Other Bees","7/2/2018","1"
"Winnebago","Emydoidea blandingii","Blanding's Turtle","LE","Turtles","8/20/2025","10"
"Winnebago","Elymus trachycaulus","Bearded Wheat Grass","LE","Monocots","9/9/2022","1"
"Winnebago","Cypripedium parviflorum","Small Yellow Lady's Slipper","LE","Monocots","5/21/2021","1"
"Winnebago","Cyclonaias tuberculata","Purple Wartyback","LT","Freshwater Mussels","7/19/2021","2"
"Winnebago","Cottus bairdii","Mottled Sculpin","LT","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","9/4/2025","3"
"Winnebago","Corallorhiza maculata","Spotted Coral-root Orchid","LE","Monocots","1998","3"
"Winnebago","Comptonia peregrina","Sweetfern","LE","Dicots","10/21/1993","1"
"Winnebago","Colletes andrewsi","Andrews� Cellophane Bee","LE","Other Bees","6/6/2019","1"
"Winnebago","Coccyzus erythropthalmus","Black-billed Cuckoo","LT","Birds","5/25/2017","2"
"Winnebago","Circus hudsonius","Northern Harrier","LE","Birds","1991-07","1"
"Winnebago","Chimaphila umbellata","Pipsissewa","LE","Dicots","6/12/1993","3"
"Winnebago","Ceanothus herbaceus","Redroot","LE","Dicots","9/9/2019","1"
"Winnebago","Castilleja sessiliflora","Downy Yellow Painted Cup","LE","Dicots","6/19/2025","2"
"Winnebago","Carex inops ssp. heliophila","Plains Sedge","LE","Monocots","5/26/1957","3"
"Winnebago","Carex echinata","Sedge","LE","Monocots","7/2/1988","1"
"Winnebago","Calopogon tuberosus","Grass Pink Orchid","LE","Monocots","11/4/1977","1"
"Winnebago","Botrychium simplex","Dwarf Grape Fern","LE","Adder's-tongues, Grapeferns, and Moonworts","6/12/1993","2"
"Winnebago","Botrychium matricariifolium","Daisyleaf Grape Fern","LE","Adder's-tongues, Grapeferns, and Moonworts","6/12/1993","2"
"Winnebago","Bombus affinis","Rusty Patched Bumble Bee","LE","Bumble Bees","7/30/2025","33"
"Winnebago","Bartramia longicauda","Upland Sandpiper","LE","Birds","6/26/1988","2"
"Winnebago","Asclepias lanuginosa","Wooly Milkweed","LE","Dicots","6/19/2025","4"
"Winnebago","Artemisia dracunculus","Dragon Wormwood","LE","Dicots","9/7/2023","3"
"Winnebago","Argynnis idalia occidentalis","Western Regal Fritillary","LT","Butterflies","2015-SU","1"
"Winnebago","Argynnis aphrodite","Aphrodite Fritillary","LT","Butterflies","2011","1"
"Winnebago","Arctostaphylos uva-ursi","Bearberry","LE","Dicots","1987","1"
"Winnebago","Ammocrypta clara","Western Sand Darter","LE","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","8/17/1968","1"
"Winnebago","Amelanchier interior","Shadbush","LT","Dicots","6/12/2024","1"
"Winnebago","Alnus incana ssp. rugosa","Speckled Alder","LE","Dicots","6/12/2024","1"
"Winnebago","Alburnops texanus","Weed Shiner","LE","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","8/29/1963","1"
"Winnebago","Acipenser fulvescens","Lake Sturgeon","LE","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys","2009-05","1"
"Williamson","Trillium viride","Green Trillium","LE","Monocots","4/27/1987","1"
"Williamson","Thryomanes bewickii","Bewick's Wren","LE","Birds","6/24/1987","1"
"Williamson","Stenanthium gramineum","Grass-leaved Lily","LT","Monocots","7/14/2023","1"
"Williamson","Spiranthes vernalis","Spring Ladies' Tresses","LE","Monocots","7/2/2025","3"
"Williamson","Scleria pauciflora","Carolina Whipgrass","LE","Monocots","9/17/2024","1"
"Williamson","Rhexia mariana","Dull Meadow Beauty","LE","Dicots","8/11/2022","6"
"Williamson","Quercus phellos","Willow Oak","LT","Dicots","9/29/2023","1"
"Williamson","Pinus echinata","Shortleaf Pine","LE","Conifers","4/29/1984","1"
"Williamson","Pandion haliaetus","Osprey","LT","Birds","4/1/2025","1"
"Williamson","Nyctanassa violacea","Yellow-crowned Night-Heron","LE","Birds","2014-04","2"
"Williamson","Myotis sodalis","Indiana Bat","LE","Mammals","7/19/2019","5"
"Williamson","Myotis septentrionalis","Northern Long-eared Bat","LE","Mammals","8/4/2020","2"
"Williamson","Matelea decipiens","Climbing Milkweed","LE","Dicots","6/8/2022","1"
"Williamson","Lanius ludovicianus","Loggerhead Shrike","LE","Birds","6/28/2022","1"
